"country_code","region_name","iata","icao","airport","latitude","longitude"
"AO","Huila","JMB","","Jamba Airport","-14.6982","16.0701"
"AO","Huila","SDD","FNUB","Lubango Mukanka Airport","-14.9247","13.575"
"AO","Kuando Kubango","CTI","FNCV","Cuito Cuanavale Airport","-15.1603","19.1561"
"AO","Kuando Kubango","DRC","","Dirico Airport","-17.9819","20.7681"
"AO","Kuando Kubango","SPP","FNME","Menongue Airport","-14.6576","17.7198"
"AO","Kwanza Norte","NDF","","N'dalatando Airport","-9.27519","14.9772"
"AO","Kwanza Sul","CEO","FNWK","Waco Kungo Airport","-11.4264","15.1014"
"AO","Kwanza Sul","NDD","FNSU","Sumbe Airport","-11.1679","13.8475"
"AO","Kwanza Sul","PBN","FNPA","Porto Amboim Airport","-10.722","13.7655"
"AO","Luanda","LAD","FNLU","Quatro de Fevereiro Airport","-8.85837","13.2312"
"AO","Lunda Norte","CFF","FNCF","Cafunfo Airport","-8.78361","17.9897"
"AO","Lunda Norte","DUE","FNDU","Dundo Airport","-7.40089","20.8185"
"AO","Lunda Norte","LBZ","FNLK","Lucapa Airport","-8.44573","20.7321"
"AO","Lunda Norte","LZM","FNLZ","Cuango-Luzamba Airport","-9.11596","18.0493"
"AO","Lunda Norte","NZA","FNZG","Nzagi Airport","-7.71694","21.3582"
"AO","Lunda Norte","PGI","FNCH","Chitato Airport","-7.35889","20.8047"
"AO","Lunda Sul","VHC","FNSA","Henrique de Carvalho Airport","-9.68907","20.4319"
"AO","Malange","KNP","FNCP","Kapanda Airport","-9.76937","15.4553"
"AO","Malange","MEG","FNMA","Malanje Airport","-9.52509","16.3124"
"AO","Moxico","CAV","FNCZ","Cazombo Airport","-11.8931","22.9164"
"AO","Moxico","CNZ","","Cangamba Airport","-13.7106","19.8611"
"AO","Moxico","GGC","","Lumbala N'guimbo Airport","-14.105","21.45"
"AO","Moxico","LUO","FNUE","Luena Airport","-11.7681","19.8977"
"AO","Moxico","UAL","FNUA","Luau Airport","-10.7158","22.2311"
"AO","Namibe","MSZ","FNMO","Namibe Airport (Yuri Gagarin Airport)","-15.2612","12.1468"
"AO","Uige","GXG","FNNG","Negage Airport","-7.75451","15.2877"
"AO","Uige","UGO","FNUG","Uige Airport","-7.60307","15.0278"
"AO","Zaire","ARZ","FNZE","N'zeto Airport","-7.25944","12.8631"
"AO","Zaire","SSY","FNBC","Mbanza Congo Airport","-6.2699","14.247"
"AO","Zaire","SZA","FNSO","Soyo Airport","-6.14109","12.3718"
"AQ","Antarctica","TNM","SCRM","Teniente R. Marsh Airport","-62.1908","-58.9867"
"AR","Buenos Aires","AEP","SABE","Aeroparque Internacional Jorge Newbery","-34.5589","-58.4164"
"AR","Buenos Aires","BHI","SAZB","Comandante Espora Airport","-38.725","-62.1693"
"AR","Buenos Aires","CPG","","Carmen de Patagones Airport","-40.7781","-62.9803"
"AR","Buenos Aires","CSZ","SAZC","Brigadier Hector Eduardo Ruiz Airport","-37.4461","-61.8893"
"AR","Buenos Aires","EPA","SADP","El Palomar Airport","-34.6099","-58.6126"
"AR","Buenos Aires","EZE","SAEZ","Ministro Pistarini International Airport","-34.8222","-58.5358"
"AR","Buenos Aires","JNI","SAAJ","Junin Airport","-34.5459","-60.9306"
"AR","Buenos Aires","LPG","SADL","La Plata Airport","-34.9722","-57.8947"
"AR","Buenos Aires","MDQ","SAZM","Astor Piazzolla International Airport","-37.9342","-57.5733"
"AR","Buenos Aires","MJR","","Miramar Airport","-38.2271","-57.8697"
"AR","Buenos Aires","NEC","SAZO","Necochea Airport","-38.4831","-58.8172"
"AR","Buenos Aires","OVR","SAZF","Olavarria Airport","-36.89","-60.2166"
"AR","Buenos Aires","OYO","SAZH","Tres Arroyos Airport","-38.3869","-60.3297"
"AR","Buenos Aires","PEH","SAZP","Comodoro Pedro Zanni Airport","-35.8446","-61.8576"
"AR","Buenos Aires","SST","SAZL","Santa Teresita Airport","-36.5423","-56.7218"
"AR","Buenos Aires","TDL","SAZT","Tandil Airport","-37.2374","-59.2279"
"AR","Buenos Aires","VGS","","General Villegas Airport","-35","-63"
"AR","Buenos Aires","VLG","SAZV","Villa Gesell Airport","-37.2354","-57.0292"
"AR","Catamarca","CTC","SANC","Coronel Felipe Varela International Airport","-28.5956","-65.7517"
"AR","Chaco","CNT","","Charata Airport","-27.2164","-61.2103"
"AR","Chaco","PRQ","SARS","Presidencia Roque Saenz Pena Airport","-26.7536","-60.4922"
"AR","Chaco","RES","SARE","Resistencia International Airport","-27.45","-59.0561"
"AR","Chubut","ARR","SAVR","Alto Rio Senguer Airport","-45.0136","-70.8122"
"AR","Chubut","CRD","SAVC","General Enrique Mosconi International Airport","-45.7853","-67.4655"
"AR","Chubut","EMX","SAVD","El Maiten Airport","-42.0292","-71.1725"
"AR","Chubut","EQS","SAVE","Esquel Airport","-42.908","-71.1395"
"AR","Chubut","JSM","SAWS","Jose de San Martin Airport","-44.0486","-70.4589"
"AR","Chubut","OLN","SAVM","Lago Musters Airport","-45.5824","-68.9998"
"AR","Chubut","PMY","SAVY","El Tehuelche Airport","-42.7592","-65.1027"
"AR","Chubut","REL","SAVT","Almirante Marcos A. Zar Airport","-43.2105","-65.2703"
"AR","Chubut","ROY","SAWM","Rio Mayo Airport","-45.7039","-70.2456"
"AR","Cordoba","COR","SACO","Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas)","-31.3236","-64.208"
"AR","Cordoba","LCM","SACC","La Cumbre Airport","-31.0058","-64.5319"
"AR","Cordoba","RCU","SAOC","Las Higueras Airport","-33.0851","-64.2613"
"AR","Cordoba","VDR","SAOD","Villa Dolores Airport","-31.9452","-65.1463"
"AR","Corrientes","AOL","SARL","Paso de los Libres Airport","-29.6894","-57.1521"
"AR","Corrientes","CNQ","SARC","Doctor Fernando Piragine Niveyro International Airport","-27.4455","-58.7619"
"AR","Corrientes","MCS","SARM","Monte Caseros Airport","-30.2719","-57.6402"
"AR","Corrientes","MDX","SATM","Mercedes Airport","-29.2214","-58.0878"
"AR","Corrientes","OYA","SATG","Goya Airport","-29.1058","-59.2189"
"AR","Corrientes","UZU","SATU","Curuzu Cuatia Airport","-29.7706","-57.9789"
"AR","Entre Rios","COC","SAAC","Comodoro Pierrestegui Airport","-31.2969","-57.9966"
"AR","Entre Rios","GHU","SAAG","Gualeguaychu Airport","-33.0103","-58.6131"
"AR","Entre Rios","PRA","SAAP","General Justo Jose de Urquiza Airport","-31.7948","-60.4804"
"AR","Formosa","CLX","SATC","Clorinda Airport","-25.3036","-57.7344"
"AR","Formosa","FMA","SARF","Formosa International Airport (El Pucu Airport)","-26.2127","-58.2281"
"AR","Formosa","LLS","SATK","Alferez Armando Rodriguez Airport","-24.7214","-60.5488"
"AR","Jujuy","JUJ","SASJ","Gobernador Horacio Guzman International Airport","-24.3928","-65.0978"
"AR","La Pampa","GPO","SAZG","General Pico Airport","-35.6962","-63.7583"
"AR","La Pampa","RSA","SAZR","Santa Rosa Airport (Argentina)","-36.5883","-64.2757"
"AR","La Rioja","IRJ","SANL","Capitan Vicente Almandos Almonacid Airport","-29.3816","-66.7958"
"AR","Mendoza","AFA","SAMR","San Rafael Airport (Argentina)","-34.5883","-68.4039"
"AR","Mendoza","LGS","SAMM","Comodoro D. Ricardo Salomon Airport","-35.4936","-69.5743"
"AR","Mendoza","MDZ","SAME","Gov. Francisco Gabrielli International Airport (El Plumerillo)","-32.8317","-68.7929"
"AR","Misiones","ELO","SATD","Eldorado Airport","-26.3975","-54.5747"
"AR","Misiones","IGR","SARI","Cataratas del Iguazu International Airport","-25.7373","-54.4734"
"AR","Misiones","PSS","SARP","Libertador General Jose de San Martin Airport","-27.3858","-55.9707"
"AR","Neuquen","APZ","SAHZ","Zapala Airport","-38.9755","-70.1136"
"AR","Neuquen","CPC","SAZY","Aviador Carlos Campos Airport","-40.0754","-71.1373"
"AR","Neuquen","CUT","SAZW","Cutral Co Airport","-38.9397","-69.2646"
"AR","Neuquen","CVH","","Caviahue Airport","-37.8514","-71.0092"
"AR","Neuquen","HOS","SAHC","Chos Malal Airport","-37.4447","-70.2225"
"AR","Neuquen","LCP","","Loncopue Airport","-38.0819","-70.6439"
"AR","Neuquen","NQN","SAZN","Presidente Peron International Air","-38.949","-68.1557"
"AR","Neuquen","RDS","SAHS","Rincon de los Sauces Airport","-37.3906","-68.9042"
"AR","Rio Negro","BRC","SAZS","San Carlos de Bariloche Airport","-41.1512","-71.1575"
"AR","Rio Negro","CCT","","Colonia Catriel Airport","-37.9102","-67.835"
"AR","Rio Negro","EHL","SAVB","El Bolson Airport","-41.9432","-71.5323"
"AR","Rio Negro","GNR","SAHR","Dr. Arturo Umberto Illia Airport","-39.0007","-67.6205"
"AR","Rio Negro","IGB","SAVJ","Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport)","-41.3209","-69.5749"
"AR","Rio Negro","LMD","","Los Menucos Airport","-40.8177","-68.0747"
"AR","Rio Negro","MQD","SAVQ","Maquinchao Airport","-41.2431","-68.7078"
"AR","Rio Negro","OES","SAVN","Antoine de Saint Exupery Airport","-40.7512","-65.0343"
"AR","Rio Negro","SGV","SAVS","Sierra Grande Airport","-41.5917","-65.3394"
"AR","Rio Negro","VCF","","Valcheta Airport","-40.7","-66.15"
"AR","Rio Negro","VDM","SAVV","Gobernador Edgardo Castello Airport","-40.8692","-63.0004"
"AR","Salta","ORA","SASO","Oran Air","-23.1528","-64.3292"
"AR","Salta","SLA","SASA","Martin Miguel de Guemes International Airport","-24.856","-65.4862"
"AR","Salta","TTG","SAST","Tartagal Airport","-22.6196","-63.7937"
"AR","San Juan","UAQ","SANU","Domingo Faustino Sarmiento Airport","-31.5715","-68.4182"
"AR","San Luis","LUQ","SAOU","Brigadier Mayor Cesar Raul Ojeda Airport","-33.2732","-66.3564"
"AR","San Luis","RLO","SAOS","Valle del Conlara Airport","-32.3847","-65.1865"
"AR","San Luis","VME","SAOR","Villa Reynolds Airport","-33.7299","-65.3874"
"AR","Santa Cruz","CVI","","Caleta Olivia Airport","-46.4318","-67.5186"
"AR","Santa Cruz","FTE","SAWA","Comandante Armando Tola International Airport","-50.2803","-72.0531"
"AR","Santa Cruz","GGS","SAWR","Gobernador Gregores Airport","-48.7831","-70.15"
"AR","Santa Cruz","LHS","SAVH","Las Heras Airport","-46.5383","-68.9653"
"AR","Santa Cruz","PMQ","SAWP","Perito Moreno Airport","-46.5379","-70.9787"
"AR","Santa Cruz","PUD","SAWD","Puerto Deseado Airport","-47.7353","-65.9041"
"AR","Santa Cruz","RGL","SAWG","Piloto Civil Norberto Fernandez International Airport","-51.6089","-69.3126"
"AR","Santa Cruz","RYO","SAWT","Rio Turbio Airport","-51.605","-72.2203"
"AR","Santa Cruz","RZA","SAWU","Santa Cruz Airport (Argentina)","-50.0165","-68.5792"
"AR","Santa Cruz","ULA","SAWJ","Capitan Jose Daniel Vazquez Airport","-49.3068","-67.8026"
"AR","Santa Fe","CRR","SANW","Ceres Airport","-29.8723","-61.9279"
"AR","Santa Fe","NCJ","SAFS","Sunchales Airport","-30.9575","-61.5283"
"AR","Santa Fe","RAF","SAFR","Rafaela Airport","-31.2825","-61.5017"
"AR","Santa Fe","RCQ","SATR","Reconquista Airport","-29.2103","-59.68"
"AR","Santa Fe","ROS","SAAR","Rosario - Islas Malvinas International Airport","-32.9036","-60.785"
"AR","Santa Fe","SFN","SAAV","Sauce Viejo Airport","-31.7117","-60.8117"
"AR","Santiago del Estero","RHD","SANR","Termas de Rio Hondo Airport","-27.4966","-64.936"
"AR","Santiago del Estero","SDE","SANE","Vicecomodoro Angel de la Paz Aragones Airport","-27.7656","-64.31"
"AR","Tierra del Fuego","RGA","SAWE","Hermes Quijada International Airport","-53.7777","-67.7494"
"AR","Tierra del Fuego","USH","SAWH","Ushuaia - Malvinas Argentinas International Airport","-54.8433","-68.2958"
"AR","Tucuman","TUC","SANT","Teniente General Benjamin Matienzo International Airport","-26.8409","-65.1049"
"AS","Eastern District","OFU","NSAS","Ofu Airport","-14.1844","-169.67"
"AS","Eastern District","PPG","NSTU","Pago Pago International Airport","-14.331","-170.71"
"AS","Eastern District","TAV","","Tau Airport","-14.2292","-169.511"
"AT","Karnten","KLU","LOWK","Klagenfurt Airport","46.6425","14.3377"
"AT","Niederosterreich","VIE","LOWW","Vienna International Airport","48.1103","16.5697"
"AT","Oberosterreich","LNZ","LOWL","Linz Airport (Blue Danube Airport)","48.2332","14.1875"
"AT","Salzburg","SZG","LOWS","Salzburg Airport","47.7933","13.0043"
"AT","Steiermark","GRZ","LOWG","Graz Airport","46.9911","15.4396"
"AT","Tirol","INN","LOWI","Innsbruck Airport (Kranebitten Airport)","47.2602","11.344"
"AT","Vorarlberg","HOH","LOIH","Hohenems-Dornbirn Airport","47.385","9.7"
"AU","Australian Capital Territory","CBR","YSCB","Canberra Airport","-35.3069","149.195"
"AU","New South Wales","ABX","YMAY","Albury Airport","-36.0678","146.958"
"AU","New South Wales","ARM","YARM","Armidale Airport","-30.5281","151.617"
"AU","New South Wales","BEO","YLMQ","Lake Macquarie Airport (Belmont Airport)","-33.0667","151.648"
"AU","New South Wales","BHQ","YBHI","Broken Hill Airport","-32.0014","141.472"
"AU","New South Wales","BHS","YBTH","Bathurst Airport","-33.4094","149.652"
"AU","New South Wales","BNK","YBNA","Ballina Byron Gateway Airport","-28.8339","153.562"
"AU","New South Wales","BRK","YBKE","Bourke Airport","-30.0392","145.952"
"AU","New South Wales","BWQ","YBRW","Brewarrina Airport","-29.9739","146.817"
"AU","New South Wales","BWU","YSBK","Bankstown Airport","-33.9244","150.988"
"AU","New South Wales","BZD","YBRN","Balranald Airport","-34.6236","143.578"
"AU","New South Wales","CAZ","YCBA","Cobar Airport","-31.5383","145.794"
"AU","New South Wales","CBX","YCDO","Condobolin Airport","-33.0644","147.209"
"AU","New South Wales","CDU","YSCN","Camden Airport","-34.0403","150.687"
"AU","New South Wales","CES","YCNK","Cessnock Airport","-32.7875","151.342"
"AU","New South Wales","CFS","YCFS","Coffs Harbour Airport","-30.3206","153.116"
"AU","New South Wales","CLH","YCAH","Coolah Airport","-31.7733","149.61"
"AU","New South Wales","CMD","YCTM","Cootamundra Airport","-34.6239","148.028"
"AU","New South Wales","CNB","YCNM","Coonamble Airport","-30.9833","148.376"
"AU","New South Wales","COJ","YCBB","Coonabarabran Airport","-31.3325","149.267"
"AU","New South Wales","CRB","YCBR","Collarenebri Airport","-29.5217","148.582"
"AU","New South Wales","CSI","YCAS","Casino Airport","-28.8828","153.067"
"AU","New South Wales","CUG","YCUA","Cudal Airport","-33.2783","148.763"
"AU","New South Wales","CWT","YCWR","Cowra Airport","-33.8447","148.649"
"AU","New South Wales","CWW","YCOR","Corowa Airport","-35.9947","146.357"
"AU","New South Wales","DBO","YSDU","Dubbo City Regional Airport","-32.2167","148.575"
"AU","New South Wales","DGE","YMDG","Mudgee Airport","-32.5625","149.611"
"AU","New South Wales","DNQ","YDLQ","Deniliquin Airport","-35.5594","144.946"
"AU","New South Wales","EVH","YEVD","Evans Head Memorial Aerodrome","-29.0933","153.42"
"AU","New South Wales","FLY","YFIL","Finley Airport","-35.6667","145.55"
"AU","New South Wales","FOT","YFST","Forster (Wallis Island) Airport","-32.2042","152.479"
"AU","New South Wales","FRB","YFBS","Forbes Airport","-33.3636","147.935"
"AU","New South Wales","GFE","","Grenfell Airport","-34","148.133"
"AU","New South Wales","GFF","YGTH","Griffith Airport","-34.2508","146.067"
"AU","New South Wales","GFN","YGFN","Clarence Valley Regional Airport","-29.7594","153.03"
"AU","New South Wales","GLI","YGLI","Glen Innes Airport","-29.675","151.689"
"AU","New South Wales","GOS","YSMB","Somersby Airfield","-33.3678","151.3"
"AU","New South Wales","GUH","YGDH","Gunnedah Airport","-30.9611","150.251"
"AU","New South Wales","GUL","YGLB","Goulburn Airport","-34.8103","149.726"
"AU","New South Wales","HXX","YHAY","Hay Airport","-34.5314","144.83"
"AU","New South Wales","IVR","YIVL","Inverell Airport","-29.8883","151.144"
"AU","New South Wales","KPS","YKMP","Kempsey Airport","-31.0744","152.77"
"AU","New South Wales","LBH","","Palm Beach Water Airport","-33.5871","151.323"
"AU","New South Wales","LDH","YLHI","Lord Howe Island Airport","-31.5383","159.077"
"AU","New South Wales","LHG","YLRD","Lightning Ridge Airport","-29.4567","147.984"
"AU","New South Wales","LSY","YLIS","Lismore Airport","-28.8303","153.26"
"AU","New South Wales","MIM","YMER","Merimbula Airport","-36.9086","149.901"
"AU","New South Wales","MRZ","YMOR","Moree Airport","-29.4989","149.845"
"AU","New South Wales","MTL","YMND","Maitland Airport","-32.7013","151.493"
"AU","New South Wales","MVH","","Macksville Airport","-30.7","152.917"
"AU","New South Wales","MYA","YMRY","Moruya Airport","-35.8978","150.144"
"AU","New South Wales","NAA","YNBR","Narrabri Airport","-30.3192","149.827"
"AU","New South Wales","NBH","YNHS","Nambucca Heads Airport","-30.65","153"
"AU","New South Wales","NGA","YYNG","Young Airport","-34.2556","148.248"
"AU","New South Wales","NOA","YSNW","NAS Nowra","-34.9489","150.537"
"AU","New South Wales","NRA","YNAR","Narrandera Airport","-34.7022","146.512"
"AU","New South Wales","NSO","YSCO","Scone Airport","-32.0372","150.832"
"AU","New South Wales","NTL","YWLM","Newcastle Airport / RAAF Base Williamtown","-32.795","151.834"
"AU","New South Wales","NYN","YNYN","Nyngan Airport","-31.5511","147.203"
"AU","New South Wales","OAG","YORG","Orange Airport","-33.3817","149.133"
"AU","New South Wales","OOM","YCOM","Cooma-Snowy Mountains Airport","-36.3006","148.974"
"AU","New South Wales","PKE","YPKS","Parkes Airport","-33.1314","148.239"
"AU","New South Wales","PQQ","YPMQ","Port Macquarie Airport","-31.4358","152.863"
"AU","New South Wales","RSE","","Rose Bay Water Airport","-33.869","151.262"
"AU","New South Wales","SIX","YSGT","Singleton Airport","-32.6008","151.193"
"AU","New South Wales","SYD","YSSY","Sydney Airport (Kingsford Smith Airport)","-33.9461","151.177"
"AU","New South Wales","TCW","YTOC","Tocumwal Airport","-35.8117","145.608"
"AU","New South Wales","TEM","YTEM","Temora Airport","-34.4214","147.512"
"AU","New South Wales","TMW","YSTW","Tamworth Regional Airport","-31.0839","150.847"
"AU","New South Wales","TRO","YTRE","Taree Airport","-31.8886","152.514"
"AU","New South Wales","TUM","YTMU","Tumut Airport","-35.2628","148.241"
"AU","New South Wales","TYB","YTIB","Tibooburra Airport","-29.4511","142.058"
"AU","New South Wales","UIR","YQDI","Quirindi Airport","-31.4906","150.514"
"AU","New South Wales","WAU","","Wauchope Airport","-20.6406","134.215"
"AU","New South Wales","WEW","YWWA","Wee Waa Airport","-30.2583","149.408"
"AU","New South Wales","WGA","YSWG","Wagga Wagga Airport","-35.1653","147.466"
"AU","New South Wales","WGE","YWLG","Walgett Airport","-30.0328","148.126"
"AU","New South Wales","WIO","YWCA","Wilcannia Airport","-31.5264","143.375"
"AU","New South Wales","WLC","YWCH","Walcha Airport","-31","151.567"
"AU","New South Wales","WOL","YWOL","Illawarra Regional Airport","-34.5611","150.789"
"AU","New South Wales","WWY","YWWL","West Wyalong Airport","-33.9372","147.191"
"AU","New South Wales","XRH","YSRI","RAAF Base Richmond","-33.6006","150.781"
"AU","Northern Territory","AMX","","Ammaroo Airport","-21.7383","135.242"
"AU","Northern Territory","ANZ","","Angus Downs Airport","-25.0325","132.275"
"AU","Northern Territory","ASP","YBAS","Alice Springs Airport","-23.8067","133.902"
"AU","Northern Territory","AVG","YAUV","Auvergne Airport","-15.7","130"
"AU","Northern Territory","AWP","","Austral Downs Airport","-20.5","137.75"
"AU","Northern Territory","AXL","YALX","Alexandria Homestead Airport","-19.0602","136.71"
"AU","Northern Territory","AYD","","Alroy Downs Airport","-19.2908","136.079"
"AU","Northern Territory","AYL","","Anthony Lagoon Airport","-18.0181","135.535"
"AU","Northern Territory","AYQ","YAYE","Ayers Rock Airport","-25.1861","130.976"
"AU","Northern Territory","BCZ","","Bickerton Island Airport","-13.7808","136.202"
"AU","Northern Territory","BOX","YBRL","Borroloola Airport","-16.0753","136.302"
"AU","Northern Territory","BRT","YBTI","Bathurst Island Airport","-11.7692","130.62"
"AU","Northern Territory","BTD","","Brunette Downs Airport","-18.64","135.938"
"AU","Northern Territory","BYX","","Baniyala Airport","-13.1981","136.227"
"AU","Northern Territory","CDA","YCOO","Cooinda Airport","-12.9033","132.532"
"AU","Northern Territory","CFI","YCFD","Camfield Airport","-17.0217","131.327"
"AU","Northern Territory","CKI","YCKI","Croker Island Airport","-11.165","132.483"
"AU","Northern Territory","COB","","Coolibah Airport","-15.5483","130.962"
"AU","Northern Territory","CSD","","Cresswell Downs Airport","-17.948","135.916"
"AU","Northern Territory","CTR","","Cattle Creek Airport","-17.607","131.549"
"AU","Northern Territory","DKV","YDVR","Docker River Airport","-24.86","129.07"
"AU","Northern Territory","DLV","YDLV","Delissaville Airport","-12.55","130.685"
"AU","Northern Territory","DRW","YPDN","Darwin International Airport","-12.4147","130.877"
"AU","Northern Territory","DVR","","Daly River Airport","-13.7498","130.694"
"AU","Northern Territory","DYW","","Daly Waters Airport","-16.2647","133.383"
"AU","Northern Territory","EDD","","Erldunda Airport","-25.2058","133.254"
"AU","Northern Territory","EKD","","Elkedra Airport","-21.1725","135.444"
"AU","Northern Territory","ELC","YELD","Elcho Island Airport","-12.0194","135.571"
"AU","Northern Territory","EVD","","Eva Downs Airport","-18.001","134.863"
"AU","Northern Territory","FIK","YFNE","Finke Airport","-25.5947","134.583"
"AU","Northern Territory","GBL","YGBI","South Goulburn Island Airport","-11.65","133.382"
"AU","Northern Territory","GOV","YPGV","Gove Airport","-12.2694","136.818"
"AU","Northern Territory","GPN","YGPT","Garden Point Airport","-11.4025","130.422"
"AU","Northern Territory","GTE","YGTE","Groote Eylandt Airport","-13.975","136.46"
"AU","Northern Territory","GTS","YTGT","The Granites Airport","-26.9483","133.607"
"AU","Northern Territory","HMG","YHMB","Hermannsburg Airport","-23.93","132.805"
"AU","Northern Territory","HOK","YHOO","Hooker Creek Airport","-18.3367","130.638"
"AU","Northern Territory","HRY","YHBY","Henbury Airport","-24.584","133.236"
"AU","Northern Territory","HUB","YHBR","Humbert River Airport","-16.4897","130.63"
"AU","Northern Territory","IVW","YINW","Inverway Airport","-17.8411","129.643"
"AU","Northern Territory","JAB","YJAB","Jabiru Airport","-12.6583","132.893"
"AU","Northern Territory","KBB","","Kirkimbie Airport","-17.7792","129.21"
